Site name,Year,Month,Mean percent defoliation,Mean percent refoliation,Mean percent brown defoliation,Mean percent yellow defoliation,Mean percent dead canopy,Mean percent flowering,ym_date,Monthly sum TLB adults,Monthly sum TLB early larvae,Monthly sum TLB late larvae,Monthly sum TLB TLB egg masses,Monthly sum Weevil adults,Monthly sum Weevil larvae,Monthly sum Weevil casings,Monthly sum Leafhoppers,Monthly sum Spiders,Monthly sum Lady Bugs,Monthly sum Ants,Site number,Latitude,Longitude
Calabacillas,2020,6,0.4,18,0,0.4,16.4,NA,2020-06-17,0,0,0,0,0,0,0,2,1,0,15,11,35.19056822,-106.6491626
Calabacillas,2020,7,1.2,20,0,1.2,24,NA,2020-07-20,0,0,0,0,0,0,0,2,1,0,9,11,35.19056822,-106.6491626
Calabacillas,2020,8,2,14,0,2,26,NA,2020-08-18,0,0,1,0,0,0,0,0,2,0,17,11,35.19056822,-106.6491626
Calabacillas,2021,5,0,0,0,0,30,16.4,2021-05-19,0,0,0,0,0,0,0,0,0,0,7,11,35.19056822,-106.6491626
Calabacillas,2021,6,2.8,0,0.8,2,30,3.2,2021-06-15,0,0,0,0,0,0,0,0,1,0,7,11,35.19056822,-106.6491626
Calabacillas,2021,7,5.2,0.4,0,5.2,28,5.2,2021-07-22,0,0,0,0,0,0,0,1,2,0,14,11,35.19056822,-106.6491626
Calabacillas,2021,8,4.8,0.4,1.2,3.6,20,1.2,2021-08-16,0,1,0,0,0,1,0,13,2,0,22,11,35.19056822,-106.6491626
Calabacillas,2022,5,0.8,0,0,0.8,14.4,20.8,2022-05-18,0,0,0,0,1,0,0,11,1,0,5,11,35.19056822,-106.6491626
Calabacillas,2022,6,1.6,0,1.6,1.2,44,0,2022-06-22,0,0,0,0,0,0,0,6,1,0,21,11,35.19056822,-106.6491626
Calabacillas,2022,7,9.6,0,5.2,0.8,38,8.4,2022-07-23,0,0,0,0,0,0,0,21,0,0,13,11,35.19056822,-106.6491626
Calabacillas,2022,8,12.4,0,3.6,8.8,8.4,14.4,2022-08-26,1,1,0,0,0,0,0,9,0,0,27,11,35.19056822,-106.6491626
Calabacillas,2022,9,27.4,0,2,25.4,37,0,2022-09-24,0,0,0,0,0,0,0,2,0,0,12,11,35.19056822,-106.6491626
Calabacillas,2023,5,0,0,0,0,8,28.4,2023-05-16,0,0,1,0,0,0,0,2,2,2,14,11,35.19056822,-106.6491626
Calabacillas,2023,6,4,0,2,2,10.4,11.2,2023-06-27,0,0,0,0,0,0,0,14,3,0,7,11,35.19056822,-106.6491626
Calabacillas,2023,7,5.6,0,2,3.6,18,6.8,2023-07-19,0,0,0,0,0,0,0,11,3,0,19,11,35.19056822,-106.6491626
Calabacillas,2023,8,20.4,0,8.4,12,16,16.8,2023-08-16,3,0,0,0,0,0,0,53,4,0,25,11,35.19056822,-106.6491626
Crawford,2014,5,NA,NA,NA,NA,NA,NA,2014-05-20,0,0,0,0,0,0,0,0,0,0,1,25,34.63835,-106.74277
Crawford,2014,6,NA,NA,NA,NA,NA,NA,2014-06-17,0,0,0,0,0,0,0,16,1,0,6,25,34.63835,-106.74277
Crawford,2014,7,NA,NA,NA,NA,NA,NA,2014-07-15,0,0,0,0,0,0,0,7,2,0,1,25,34.63835,-106.74277
Crawford,2014,8,0,NA,NA,NA,NA,NA,2014-08-19,0,2,1,0,0,0,0,40,3,0,3,25,34.63835,-106.74277
Crawford,2015,5,12,NA,NA,NA,NA,NA,2015-05-20,1,0,0,0,1,2,0,7,2,0,21,25,34.63835,-106.74277
Crawford,2015,6,8.4,NA,NA,NA,NA,NA,2015-06-16,0,2,0,0,0,0,0,52,1,0,4,25,34.63835,-106.74277
Crawford,2015,7,7.6,NA,NA,NA,NA,NA,2015-07-21,22,1,5,8,3,0,0,24,3,0,4,25,34.63835,-106.74277
Crawford,2015,8,95.8,NA,NA,NA,NA,NA,2015-08-18,0,0,17,39,4,0,1,181,12,0,5,25,34.63835,-106.74277
Crawford,2016,5,0,0,NA,NA,NA,NA,2016-05-17,0,0,0,0,0,6,0,1,2,0,6,25,34.63835,-106.74277
Crawford,2016,6,5,0,NA,NA,NA,NA,2016-06-21,0,3,6,0,0,1,0,37,0,0,0,25,34.63835,-106.74277
Crawford,2016,7,7,0,NA,NA,NA,NA,2016-07-19,1,25,2,21,1,0,0,21,3,0,7,25,34.63835,-106.74277
Crawford,2016,8,98,0,NA,NA,NA,NA,2016-08-15,32,0,0,3,2,0,2,3,2,0,0,25,34.63835,-106.74277
Crawford,2017,5,0,0,0,0,18,NA,2017-05-16,0,0,0,0,0,0,1,1,0,0,0,25,34.63835,-106.74277
Crawford,2017,6,14,0,8,6,NA,NA,2017-06-21,1,0,2,0,1,10,0,12,2,0,1,25,34.63835,-106.74277
Crawford,2017,7,20,0,8,12,NA,NA,2017-07-19,14,0,3,22,2,0,2,40,4,0,0,25,34.63835,-106.74277
Crawford,2017,8,98,0,98,0,NA,NA,2017-08-17,0,0,9,1,9,0,7,21,4,0,0,25,34.63835,-106.74277
Crawford,2018,5,0,2,0,0,18,NA,2018-05-17,0,0,0,0,0,2,0,0,0,0,0,25,34.63835,-106.74277
Crawford,2018,6,0,4,0,0,18,NA,2018-06-20,0,0,0,0,2,0,0,13,0,1,0,25,34.63835,-106.74277
Crawford,2018,7,4,0,0,4,24,NA,2018-07-19,0,0,0,0,1,0,0,51,2,0,2,25,34.63835,-106.74277
Crawford,2018,8,18,0,10,8,34,NA,2018-08-25,2,0,0,0,0,0,0,9,1,0,2,25,34.63835,-106.74277
Crawford,2018,9,60,0,24,36,32,NA,2018-09-18,0,0,0,0,0,0,1,6,5,0,4,25,34.63835,-106.74277
Crawford,2019,5,0,2,0,0,52,NA,2019-05-24,0,0,0,0,0,2,0,1,0,0,0,25,34.63835,-106.74277
Crawford,2019,6,2,0.4,0,2,36,NA,2019-06-19,0,0,0,0,0,2,0,29,3,0,2,25,34.63835,-106.74277
Crawford,2019,7,3.2,0.4,1.2,2,36,NA,2019-07-16,0,0,1,0,0,3,2,20,13,0,0,25,34.63835,-106.74277
Crawford,2019,8,48.4,0,30,18.4,28,NA,2019-08-20,0,0,0,0,2,0,4,440,6,1,1,25,34.63835,-106.74277
Crawford,2019,9,29.2,1.2,6.8,22.4,42.4,NA,2019-09-18,0,0,0,0,0,0,2,11,4,0,2,25,34.63835,-106.74277
Crawford,2020,5,0,0,0,0,32,NA,2020-05-19,0,0,0,0,0,6,3,0,1,0,4,25,34.63835,-106.74277
Crawford,2020,6,8,4,8,0,30,NA,2020-06-16,0,0,0,0,2,0,1,5,1,0,2,25,34.63835,-106.74277
Crawford,2020,7,22,0,6,16,46,NA,2020-07-21,0,0,0,1,0,0,0,33,0,0,1,25,34.63835,-106.74277
Crawford,2020,8,26,0,12,14,44,NA,2020-08-18,0,0,0,0,0,0,0,5,1,0,2,25,34.63835,-106.74277
Crawford,2021,5,0,0,0,0,60,2,2021-05-18,0,0,0,0,0,0,0,0,2,0,9,25,34.63835,-106.74277
Crawford,2021,6,1.6,0,0,1.6,36.4,0.8,2021-06-15,0,0,0,0,0,0,0,4,0,0,5,25,34.63835,-106.74277
Crawford,2021,7,5.2,0,1.6,3.6,54,2.8,2021-07-20,4,3,0,1,0,0,0,0,0,0,1,25,34.63835,-106.74277
Crawford,2021,8,66.8,0.4,66,0.8,64,0.4,2021-08-17,9,24,23,0,0,0,0,13,1,0,17,25,34.63835,-106.74277
Crawford,2021,9,64.8,18.4,52,12.8,68,0,2021-09-21,0,0,0,0,0,0,1,0,3,0,10,25,34.63835,-106.74277
Crawford,2022,5,12.5,2.5,11,1.5,13,11,2022-05-18,0,0,0,0,1,3,1,4,1,0,1,25,34.63835,-106.74277
Crawford,2022,6,10.4,0.8,5.2,5.2,10.4,5.2,2022-06-21,0,1,1,0,2,0,2,76,4,0,3,25,34.63835,-106.74277
Crawford,2022,7,38,0.4,16,22,14,14,2022-07-19,0,0,0,0,2,2,0,199,8,1,1,25,34.63835,-106.74277
Crawford,2022,8,80,0,56,24,12.8,11.2,2022-08-16,0,0,0,0,1,0,0,512,3,0,0,25,34.63835,-106.74277
Crawford,2022,9,76.4,10.4,12.4,64,14.4,6.4,2022-09-15,0,0,0,0,0,0,0,16,3,0,12,25,34.63835,-106.74277
Crawford,2023,5,6,0,6,0,20.4,20.4,2023-05-16,0,0,0,0,2,21,9,0,13,0,7,25,34.63835,-106.74277
Crawford,2023,6,18.8,4.8,8.4,10.4,14,18.4,2023-06-20,0,0,0,0,3,11,4,7,4,0,6,25,34.63835,-106.74277
Crawford,2023,7,20.4,0,10.4,10,12.4,38,2023-07-18,0,0,0,0,2,1,12,1,16,0,5,25,34.63835,-106.74277
Crawford,2023,8,23.2,0.8,5.2,18,18,18.4,2023-08-15,0,0,0,0,6,0,6,48,12,2,2,25,34.63835,-106.74277
Crawford,2024,5,17.2,0,14,3.2,14.4,5.2,2024-05-21,0,0,0,0,5,39,10,45,14,0,4,25,34.63835,-106.74277
Crawford,2024,6,22.4,0.4,8.4,14,16,8.8,2024-06-18,0,0,1,0,0,0,3,28,0,1,1,25,34.63835,-106.74277
Crawford,2024,7,29.2,0.4,5.2,24,18,16,2024-07-16,0,0,0,0,1,0,5,22,4,0,4,25,34.63835,-106.74277
Crawford,2024,8,36,0,16,20,20,20,2024-08-20,0,0,0,0,0,0,3,23,7,0,4,25,34.63835,-106.74277
Crawford,2024,9,45.2,0,3.2,42,10.8,16,2024-09-17,1,0,1,0,0,0,0,4,6,0,12,25,34.63835,-106.74277
Crawford,2025,5,12.4,0,12.4,0,8.4,18.4,2025-05-20,0,0,0,0,1,7,2,1,0,0,2,25,34.63835,-106.74277
Crawford,2025,6,4.4,0,3.2,1.2,7.2,20.4,2025-06-17,0,1,0,0,0,0,0,1,0,0,0,25,34.63835,-106.74277
Crawford,2025,7,24.4,0.8,12,12.4,5.2,18.4,2025-07-15,3,0,0,0,1,0,1,4,2,0,5,25,34.63835,-106.74277
Crawford,2025,9,34.8,0,10.8,24,12,6.8,2025-09-16,0,0,0,0,0,0,0,3,2,2,8,25,34.63835,-106.74277
Diversion,2014,5,NA,NA,NA,NA,NA,NA,2014-05-27,2,0,0,0,1,0,0,0,0,0,12,10,35.1908,-106.6429
Diversion,2014,6,5,NA,NA,NA,NA,NA,2014-06-27,6,1,6,1,0,0,3,2,2,0,47,10,35.1908,-106.6429
Diversion,2014,7,5,NA,NA,NA,NA,NA,2014-07-15,13,31,2,1,0,0,0,0,1,0,1,10,35.1908,-106.6429
Diversion,2014,8,19.8,NA,NA,NA,NA,NA,2014-08-12,59,32,2,0,0,0,0,5,0,0,2,10,35.1908,-106.6429
Diversion,2015,5,1,NA,NA,NA,NA,NA,2015-05-22,8,0,0,0,0,0,1,3,0,0,3,10,35.1908,-106.6429
Diversion,2015,6,1,NA,NA,NA,NA,NA,2015-06-18,1,44,23,1,0,1,0,13,5,0,17,10,35.1908,-106.6429
Diversion,2015,7,16.6,NA,NA,NA,NA,NA,2015-07-21,1,6,5,0,0,0,0,4,1,0,11,10,35.1908,-106.6429
Diversion,2015,8,72,NA,NA,NA,NA,NA,2015-08-20,9,2,0,20,3,0,0,11,4,0,6,10,35.1908,-106.6429
Diversion,2016,5,5,0,NA,NA,NA,NA,2016-05-23,10,0,0,0,0,0,0,6,1,0,3,10,35.1908,-106.6429
Diversion,2016,6,5,0,NA,NA,NA,NA,2016-06-22,1,0,14,1,0,0,1,19,4,0,1,10,35.1908,-106.6429
Diversion,2016,7,19,0,NA,NA,NA,NA,2016-07-22,1,0,0,0,0,0,0,29,1,0,5,10,35.1908,-106.6429
Diversion,2016,8,16,0,NA,NA,NA,NA,2016-08-17,0,0,0,0,0,0,0,8,1,0,12,10,35.1908,-106.6429
Diversion,2017,5,8,0,4,4,8,NA,2017-05-15,0,0,0,0,1,0,0,3,0,0,3,10,35.1908,-106.6429
Diversion,2017,6,18,0,8,10,NA,NA,2017-06-20,0,0,0,0,0,1,0,3,2,0,1,10,35.1908,-106.6429
Diversion,2017,7,20,0,10,10,NA,NA,2017-07-18,2,1,0,0,0,0,0,13,1,0,1,10,35.1908,-106.6429
Diversion,2017,8,16,0,6,10,NA,NA,2017-08-16,1,0,0,0,1,0,1,18,2,0,10,10,35.1908,-106.6429
Diversion,2018,5,0,4,0,0,8,NA,2018-05-15,0,0,0,0,0,0,0,10,0,0,5,10,35.1908,-106.6429
Diversion,2018,6,0,0,0,0,14,NA,2018-06-22,0,0,0,0,4,1,1,1,1,0,1,10,35.1908,-106.6429
Diversion,2018,7,0,0,0,0,0,NA,2018-07-19,1,0,1,0,0,0,0,17,0,0,2,10,35.1908,-106.6429
Diversion,2018,8,6,0,0,6,10,NA,2018-08-24,0,0,0,0,1,0,0,7,0,0,5,10,35.1908,-106.6429
Diversion,2018,9,4,0,0,4,12,NA,2018-09-19,0,0,0,0,1,0,0,7,1,0,7,10,35.1908,-106.6429
Diversion,2019,5,0,4,0,0,28,NA,2019-05-23,0,0,1,0,1,3,3,4,1,0,3,10,35.1908,-106.6429
Diversion,2019,6,2.8,0,0.8,2,7.2,NA,2019-06-18,0,0,0,0,2,1,5,100,4,0,1,10,35.1908,-106.6429
Diversion,2019,7,0.4,2,0,0.4,7.2,NA,2019-07-15,1,0,1,0,0,3,0,35,5,1,3,10,35.1908,-106.6429
Diversion,2019,8,15.2,0,11.6,3.6,8.8,NA,2019-08-21,1,0,3,0,4,0,1,55,0,0,5,10,35.1908,-106.6429
Diversion,2019,9,24,1.6,7.2,16.8,5.6,NA,2019-09-17,0,0,0,0,1,0,2,7,7,0,11,10,35.1908,-106.6429
Diversion,2020,5,0.8,2,0.4,0.4,2.4,NA,2020-05-21,0,0,0,0,3,5,2,1,1,0,4,10,35.1908,-106.6429
Diversion,2020,6,0.4,18.4,0,0.4,5.2,NA,2020-06-17,0,1,4,0,3,0,2,6,1,0,11,10,35.1908,-106.6429
Diversion,2020,7,1.6,18,0,1.6,3.6,NA,2020-07-20,8,11,11,0,1,0,0,13,1,0,45,10,35.1908,-106.6429
Diversion,2020,8,5.6,18.4,2,3.6,5.2,NA,2020-08-18,2,1,0,0,5,0,0,4,0,0,30,10,35.1908,-106.6429
Diversion,2020,9,25.6,0.4,7.2,18.4,30,NA,2020-09-17,0,0,0,0,0,0,0,5,0,0,4,10,35.1908,-106.6429
Diversion,2021,5,0.4,0,0,0.4,20.8,31.2,2021-05-20,0,0,0,0,0,1,0,1,2,0,9,10,35.1908,-106.6429
Diversion,2021,6,4,0,2,2,46,12.4,2021-06-14,0,0,0,0,2,0,0,1,1,0,5,10,35.1908,-106.6429
Diversion,2021,7,0.4,0,0,0.4,46,20.4,2021-07-19,1,0,0,0,0,0,0,2,0,0,29,10,35.1908,-106.6429
Diversion,2021,8,6.4,0,1.2,5.2,30,12.4,2021-08-17,2,1,1,0,0,0,0,2,2,0,10,10,35.1908,-106.6429
Diversion,2021,9,38.8,0,10.8,28,34,0.4,2021-09-21,0,0,0,0,0,0,0,23,0,2,34,10,35.1908,-106.6429
Diversion,2022,5,6,5,4,2,25,21.666666666666668,2022-05-19,1,0,0,0,0,1,0,25,1,0,3,10,35.1908,-106.6429
Diversion,2022,6,32.4,0,12.4,20,20,16,2022-06-25,1,0,1,0,0,0,0,47,1,0,95,10,35.1908,-106.6429
Diversion,2022,7,30.4,0,2,28.4,22,28,2022-07-18,0,1,1,0,1,0,0,25,2,0,4,10,35.1908,-106.6429
Diversion,2022,8,25.6,0,10.8,14.8,14,6,2022-08-15,0,4,0,0,0,0,0,8,0,0,6,10,35.1908,-106.6429
Diversion,2022,9,26.4,0,2,24.4,14.4,0,2022-09-20,0,0,0,0,0,0,0,9,1,0,44,10,35.1908,-106.6429
Diversion,2023,5,2.8,0,2,0.8,12.4,54,2023-05-16,0,0,0,0,0,0,0,0,1,0,3,10,35.1908,-106.6429
Diversion,2023,6,3.6,0,1.6,2,16.4,20,2023-06-21,0,0,0,0,0,2,0,7,3,0,6,10,35.1908,-106.6429
Diversion,2023,7,3.6,0,1.6,2,18,12,2023-07-19,0,0,0,0,0,0,0,18,1,0,3,10,35.1908,-106.6429
Diversion,2023,8,14,0,7.2,6.8,26,3.2,2023-08-18,0,0,0,0,0,0,0,26,1,0,17,10,35.1908,-106.6429
Diversion,2023,9,22.8,0,0.8,22,30,2,2023-09-21,0,0,0,0,0,0,0,0,0,0,16,10,35.1908,-106.6429
Diversion,2024,5,1.6,0,0.8,0.8,18,14.4,2024-05-23,0,0,0,0,0,0,1,4,1,0,4,10,35.1908,-106.6429
Diversion,2024,6,2.8,0,2,0.8,26,54,2024-06-20,0,1,0,0,0,1,0,3,0,0,2,10,35.1908,-106.6429
Diversion,2024,7,3.2,0,1.2,2,14.4,32,2024-07-16,1,0,0,0,0,0,0,2,2,0,3,10,35.1908,-106.6429
Diversion,2024,8,4.4,0,0.8,3.6,20,6,2024-08-20,0,0,1,0,0,0,0,3,0,0,10,10,35.1908,-106.6429
Diversion,2024,9,18.8,0,0,18.8,16.4,0.8,2024-09-19,0,0,0,0,0,0,0,2,0,0,18,10,35.1908,-106.6429
Diversion,2025,5,16.8,0,16,0.8,14.4,18.4,2025-05-22,0,0,0,0,0,0,0,1,0,0,1,10,35.1908,-106.6429
Diversion,2025,6,11.6,0,6.4,5.2,20,22,2025-06-17,0,0,1,0,1,0,0,0,0,0,0,10,35.1908,-106.6429
Diversion,2025,7,18.8,0,8.8,10,16,16,2025-07-15,3,1,1,0,0,0,0,0,1,0,6,10,35.1908,-106.6429
Diversion,2025,8,41.2,0,9.2,32,10.8,12,2025-08-18,1,0,0,0,0,0,0,4,0,2,14,10,35.1908,-106.6429
Diversion,2025,9,21.6,0,3.6,18,16,0,2025-09-18,0,0,0,0,0,0,2,4,1,0,17,10,35.1908,-106.6429
Harrison,2014,6,0.6,NA,NA,NA,NA,NA,2014-06-21,0,20,50,0,0,0,0,5,0,0,0,13,35.01505603,-106.6736953
Harrison,2014,7,0.4,NA,NA,NA,NA,NA,2014-07-18,13,1,1,0,2,1,0,1,1,0,3,13,35.01505603,-106.6736953
Harrison,2014,8,NA,50,NA,NA,NA,NA,2014-08-14,1,5,4,0,0,2,0,5,1,0,11,13,35.01505603,-106.6736953
Harrison,2015,5,0,NA,NA,NA,NA,NA,2015-05-22,2,0,0,0,0,0,0,3,2,0,3,13,35.01505603,-106.6736953
Harrison,2015,6,5,NA,NA,NA,NA,NA,2015-06-22,0,0,4,0,0,1,0,7,2,0,1,13,35.01505603,-106.6736953
Harrison,2015,7,4,NA,NA,NA,NA,NA,2015-07-15,5,0,0,0,1,0,0,0,4,0,6,13,35.01505603,-106.6736953
Harrison,2015,8,42,NA,NA,NA,NA,NA,2015-08-21,1,0,0,0,1,0,0,28,3,0,11,13,35.01505603,-106.6736953
Harrison,2016,5,5,0,NA,NA,NA,NA,2016-05-19,1,0,0,0,0,0,0,2,0,0,2,13,35.01505603,-106.6736953
Harrison,2016,6,6,0,NA,NA,NA,NA,2016-06-24,0,0,2,0,0,1,0,18,2,0,3,13,35.01505603,-106.6736953
Harrison,2016,7,14,1,NA,NA,NA,NA,2016-07-22,2,0,0,0,0,0,0,5,1,0,3,13,35.01505603,-106.6736953
Harrison,2016,8,30,0,NA,NA,NA,NA,2016-08-16,1,0,0,0,0,0,0,5,1,0,10,13,35.01505603,-106.6736953
Harrison,2017,5,0,0,0,0,34,NA,2017-05-17,0,0,0,0,0,1,0,0,1,0,0,13,35.01505603,-106.6736953
Harrison,2017,6,18,0,8,10,NA,NA,2017-06-19,0,0,0,0,0,2,0,3,0,0,2,13,35.01505603,-106.6736953
Harrison,2017,7,18,0,6,12,NA,NA,2017-07-17,0,0,0,0,0,2,0,5,0,0,0,13,35.01505603,-106.6736953
Harrison,2017,8,24,0,10,14,NA,NA,2017-08-14,1,1,0,0,0,0,0,13,0,0,0,13,35.01505603,-106.6736953
Harrison,2018,5,0,0,0,0,54,NA,2018-05-16,0,0,0,0,0,2,0,0,0,0,0,13,35.01505603,-106.6736953
Harrison,2018,6,0,4,0,0,36,NA,2018-06-19,0,1,1,0,1,0,0,0,0,0,3,13,35.01505603,-106.6736953
Harrison,2018,7,4,2,0,4,48,NA,2018-07-18,0,3,0,0,0,0,0,13,1,0,4,13,35.01505603,-106.6736953
Harrison,2018,8,6,2,0,6,64,NA,2018-08-21,0,0,0,0,0,0,0,0,1,0,0,13,35.01505603,-106.6736953
Harrison,2019,5,0,0,0,0,84,NA,2019-05-20,0,0,0,0,0,1,0,2,0,0,0,13,35.01505603,-106.6736953
Harrison,2019,6,0.4,2,0,0.4,44,NA,2019-06-18,0,0,0,0,1,0,0,10,3,0,1,13,35.01505603,-106.6736953
Harrison,2019,7,2.4,0.4,0.4,2,24.4,NA,2019-07-16,0,0,0,0,0,0,2,20,3,0,0,13,35.01505603,-106.6736953
Harrison,2019,8,10.4,0,3.6,6.8,40,NA,2019-08-22,0,0,0,0,0,0,0,46,7,0,0,13,35.01505603,-106.6736953
Harrison,2020,5,1.6,0,1.2,0.4,82,NA,2020-05-21,0,0,0,0,0,1,0,5,3,1,5,13,35.01505603,-106.6736953
Harrison,2020,6,2,0.4,1.2,0.8,70,NA,2020-06-18,0,0,1,0,0,0,0,5,0,0,0,13,35.01505603,-106.6736953
Harrison,2020,7,7.2,0,2,5.2,50,NA,2020-07-24,0,0,0,1,0,0,0,2,0,0,2,13,35.01505603,-106.6736953
Harrison,2020,8,6.8,0,1.6,5.2,70,NA,2020-08-21,1,0,0,0,0,0,0,0,0,0,0,13,35.01505603,-106.6736953
Harrison,2021,5,0,0,0,0,56,24,2021-05-17,0,0,0,0,0,0,0,0,1,0,0,13,35.01505603,-106.6736953
Harrison,2021,6,2.4,0,0.4,2,66,18,2021-06-15,0,0,0,0,0,0,0,1,1,0,0,13,35.01505603,-106.6736953
Harrison,2021,7,4.8,0.4,1.2,3.6,70,1.2,2021-07-21,0,2,0,0,1,0,0,0,0,0,0,13,35.01505603,-106.6736953
Harrison,2021,8,9.2,2.4,0.4,8.8,68,0.8,2021-08-19,1,0,0,0,0,0,0,10,2,0,7,13,35.01505603,-106.6736953
Lemitar,2014,6,0,NA,NA,NA,NA,NA,2014-06-17,0,0,0,0,0,0,0,1,0,0,0,7,34.16703188,-106.8899486
Lemitar,2014,7,0,NA,NA,NA,NA,NA,2014-07-16,0,0,1,0,0,0,0,3,1,0,3,7,34.16703188,-106.8899486
Lemitar,2014,8,NA,NA,NA,NA,NA,NA,2014-08-18,0,0,0,0,0,1,0,0,2,0,0,7,34.16703188,-106.8899486
Lemitar,2015,5,0,NA,NA,NA,NA,NA,2015-05-19,0,0,0,0,1,0,0,1,0,0,0,7,34.16703188,-106.8899486
Lemitar,2015,6,0,NA,NA,NA,NA,NA,2015-06-17,0,0,0,0,0,0,1,2,0,0,3,7,34.16703188,-106.8899486
Lemitar,2015,7,0,NA,NA,NA,NA,NA,2015-07-22,0,0,0,0,1,0,0,4,0,0,5,7,34.16703188,-106.8899486
Lemitar,2015,8,1,NA,NA,NA,NA,NA,2015-08-17,0,0,0,0,0,0,0,6,1,0,0,7,34.16703188,-106.8899486
Lemitar,2016,5,0,0,NA,NA,NA,NA,2016-05-16,0,0,0,0,0,0,0,3,1,0,0,7,34.16703188,-106.8899486
Lemitar,2016,6,0,0,NA,NA,NA,NA,2016-06-22,0,0,0,0,1,0,0,7,0,0,2,7,34.16703188,-106.8899486
Lemitar,2016,7,0,0,NA,NA,NA,NA,2016-07-20,0,0,0,0,0,0,0,2,1,0,3,7,34.16703188,-106.8899486
Lemitar,2016,8,5,0,NA,NA,NA,NA,2016-08-17,4,21,5,0,0,0,0,10,1,0,5,7,34.16703188,-106.8899486
Lemitar,2017,5,10,0,0,10,40,NA,2017-05-15,8,0,0,5,4,0,1,3,0,0,2,7,34.16703188,-106.8899486
Lemitar,2017,6,24,0,24,0,NA,NA,2017-06-22,33,2,15,0,0,0,2,1,4,0,5,7,34.16703188,-106.8899486
Lemitar,2017,7,32,0,32,0,NA,NA,2017-07-17,13,11,208,0,2,0,0,3,0,0,7,7,34.16703188,-106.8899486
Lemitar,2017,8,52,0,52,0,NA,NA,2017-08-14,11,0,0,0,4,0,0,0,1,0,0,7,34.16703188,-106.8899486
Lemitar,2018,5,0,0,0,0,38,NA,2018-05-17,0,0,0,0,0,0,0,3,3,0,0,7,34.16703188,-106.8899486
Lemitar,2018,6,0,4,0,0,38,NA,2018-06-21,0,0,0,0,0,0,0,2,0,0,3,7,34.16703188,-106.8899486
Lemitar,2018,7,2,2,0,2,44,NA,2018-07-17,0,1,0,0,0,0,0,20,0,0,3,7,34.16703188,-106.8899486
Lemitar,2018,8,40,0,30,10,56,NA,2018-08-23,1,21,27,0,1,0,0,8,1,0,0,7,34.16703188,-106.8899486
Lemitar,2019,5,0.4,6,0.4,0,64,NA,2019-05-24,0,0,0,0,0,0,0,0,0,0,0,7,34.16703188,-106.8899486
Lemitar,2019,6,2,0.8,0.4,1.6,40,NA,2019-06-20,1,0,0,0,0,2,0,1,1,0,0,7,34.16703188,-106.8899486
Lemitar,2019,7,4,0.4,2,2,56,NA,2019-07-19,5,105,0,2,0,1,0,15,2,0,8,7,34.16703188,-106.8899486
Lemitar,2019,8,100,0,100,0,65,NA,2019-08-19,6,11,0,0,0,0,0,1,0,0,0,7,34.16703188,-106.8899486
Lemitar,2020,5,3.6,0,2,1.6,52,NA,2020-05-22,0,7,0,0,2,0,0,5,1,0,1,7,34.16703188,-106.8899486
Lemitar,2020,6,4.8,0,1.2,3.6,52,NA,2020-06-17,7,5,4,0,2,0,0,4,2,1,6,7,34.16703188,-106.8899486
Lemitar,2020,7,100,0,100,0,58,NA,2020-07-24,2,33,0,3,2,0,0,0,2,0,6,7,34.16703188,-106.8899486
Lemitar,2020,8,36,0.8,36,0,82,NA,2020-08-24,0,1,0,0,2,2,1,0,0,0,0,7,34.16703188,-106.8899486
Lemitar,2021,5,0,0,0,0,46,0,2021-05-20,0,0,0,0,0,0,0,2,1,0,2,7,34.16703188,-106.8899486
Lemitar,2021,6,3.2,0,1.2,2,44,6.4,2021-06-18,0,0,0,0,0,6,3,3,3,0,1,7,34.16703188,-106.8899486
Lemitar,2021,7,4,0,2,2,42,0.8,2021-07-23,1,106,7,0,0,3,0,13,0,1,1,7,34.16703188,-106.8899486
Lemitar,2021,8,90,0,89.6,0.4,70,0,2021-08-18,63,0,3,2,2,0,1,0,1,2,2,7,34.16703188,-106.8899486
Lemitar,2022,5,2,0,0,2,44,2,2022-05-17,0,0,0,0,0,0,0,3,3,0,3,7,34.16703188,-106.8899486
Lemitar,2022,6,8.8,0,3.6,5.2,32,1.6,2022-06-24,0,0,0,0,0,5,0,26,1,0,8,7,34.16703188,-106.8899486
Lemitar,2022,7,19.6,0,5.2,14.4,32,4,2022-07-19,0,13,1,0,0,0,0,16,6,0,3,7,34.16703188,-106.8899486
Lemitar,2022,8,81.6,1.2,80,1.6,66,0,2022-08-17,30,14,2,0,0,0,0,56,1,0,10,7,34.16703188,-106.8899486
Lemitar,2023,5,2.4,0,1.6,0.8,52,1.6,2023-05-18,0,0,0,0,0,2,0,2,3,0,1,7,34.16703188,-106.8899486
Lemitar,2023,6,3.2,0,1.2,2,28,4.8,2023-06-20,0,0,0,0,0,0,0,0,4,0,4,7,34.16703188,-106.8899486
Lemitar,2023,7,4,0,2,2,48,1.2,2023-07-21,0,0,0,0,0,0,0,1,2,0,23,7,34.16703188,-106.8899486
Lemitar,2023,8,4,0,2,2,24,0,2023-08-16,0,0,0,0,0,5,0,3,2,0,32,7,34.16703188,-106.8899486
Lemitar,2024,6,0,0,0,0,0,0,2024-06-17,0,0,0,0,0,0,0,0,0,0,0,7,34.16703188,-106.8899486
