DATABASE NAME	CLASS	ORDER	FAMILY	GENUS	CODE	NAMECODE	CLASS	ORDER	FAMILY 	GENUS/SPECIES	COMMON NAME	NOTES	Found in Pitfall Dataset?
Crematogaster cerasi	1	11	13	16	1111316	FOCRECER	Insecta	Hymenoptera	Formicidae	Crematogaster cerasi  	Acrobat ant		Yes
Monomorium minimum	1	11	13	17	1111317	FOMONMIN	Insecta	Hymenoptera	Formicidae	Monomorium minimum  	Little black ant		Yes
Tapinoma sessile	1	11	13	18	1111318	FOTAPSES	Insecta	Hymenoptera	Formicidae	Tapinoma sessile  	Odorous house ant		Yes
Conomyra insana	1	11	13	19	1111319	FOCONINS	Insecta	Hymenoptera	Formicidae	Conomyra insana  			
Pogonomyrmex occidentalis	1	11	13	20	1111320	FOPOGOCC	Insecta	Hymenoptera	Formicidae	Pogonomyrmex occidentalis  	Western harvester ant		Yes
Formica neogagates	1	11	13	21	1111321	FOFORNEG	Insecta	Hymenoptera	Formicidae	Formica neogagates 			
Lasius niger	1	11	13	22	1111322	FOLASNIG	Insecta	Hymenoptera	Formicidae	Lasius niger  			
Monomorium cyaneum	1	11	13	23	1111323	FOMONCYA	Insecta	Hymenoptera	Formicidae	Monomorium cyaneum  			
Camponotus vicinus	1	11	13	24	1111324	FOCAMVIC	Insecta	Hymenoptera	Formicidae	Camponotus vicinus  	Carpenter ant		Yes
Leptothorax obliquicanthus	1	11	13	25	1111325	FOLEPOBL	Insecta	Hymenoptera	Formicidae	Leptothorax obliquicanthus  			
Neivamyrmex nigrescens	1	11	13	26	1111326	FONEINIG	Insecta	Hymenoptera	Formicidae	Neivamyrmex nigrescens  			Yes
Leptothorax nitens	1	11	13	27	1111327	FOLEPNIT	Insecta	Hymenoptera	Formicidae	Leptothorax nitens  			
Solenopsis molesta	1	11	13	28	1111328	FOSOLMOL	Insecta	Hymenoptera	Formicidae	Solenopsis molesta  			
Formica hewitti	1	11	13	29	1111329	FOFORHEW	Insecta	Hymenoptera	Formicidae	Formica hewitti  			
Leptothorax andrei	1	11	13	30	1111330	FOLEPAND	Insecta	Hymenoptera	Formicidae	Leptothorax andrei  			
Pogonomyrmex barbatus	1	11	13	31	1111331	FOPOGBAR	Insecta	Hymenoptera	Formicidae	Pogonomyrmex barbatus	Red harvester ant		Yes
Lasius fallax	1	11	13	32	1111332	FOLASFAL	Insecta	Hymenoptera	Formicidae	Lasius fallax			
Pheidole pilifera	1	11	13	33	1111333	FOPHEPIL	Insecta	Hymenoptera	Formicidae	Pheidole pilifera			
Camponotus sansabeanus	1	11	13	34	1111334	FOCAMSAN	Insecta	Hymenoptera	Formicidae	Camponotus sansabeanus  			
Hypoponera opaciceps	1	11	13	35	1111335	FOHYPOPA	Insecta	Hymenoptera	Formicidae	Hypoponera opaciceps  			
Leptothorax texanus texanus	1	11	13	36	1111336	FOLEPTEX	Insecta	Hymenoptera	Formicidae	Leptothorax texanus texanus			
Pogonomyrmex sp.	1	11	13	37	1111337	FOPOG	Insecta	Hymenoptera	Formicidae	Pogonomyrmex	Harvester ants (genus)		Yes
Camponotus modoc	1	11	13	38	1111338	FOCAMMOD	Insecta	Hymenoptera	Formicidae	Camponotus modoc	Western carpenter ant		Yes
Prenolepis sp.	1	11	13	39	1111339	FOPRE	Insecta	Hymenoptera	Formicidae	Prenolepis sp.	False honey ants (genus)	only use this code if you are sure it is not Prenolepis imparis, this is the only known species in NM	Yes
Forelius sp.	1	11	13	42	1111342	FOFOE	Insecta	Hymenoptera	Formicidae	Forelius sp.			Yes
Monomorium sp.	1	11	13	43	1111343	FOMON	Insecta	Hymenoptera	Formicidae	Monomorium sp.	Ant (genus)		Yes
Camponotus sp.	1	11	13	44	1111344	FOCAM	Insecta	Hymenoptera	Formicidae	Camponotus sp.	Carpenter ant (genus)		Yes
Myrmecocystus sp.	1	11	13	45	1111345	FOMYM	Insecta	Hymenoptera	Formicidae	Myrmecocystus sp.	Honeypot ants (genus)		Yes
Myrmica sp.	1	11	13	46	1111346	FOMYC	Insecta	Hymenoptera	Formicidae	Myrmica sp.			Yes
Liometopum sp.	1	11	13	47	1111347	FOHIO	Insecta	Hymenoptera	Formicidae	Liometopum sp.	Velvety tree ants (genus)		Yes
Monomorium pharaonis	1	11	13	48	1111348	FOMONPHA	Insecta	Hymenoptera	Formicidae	Monomorium pharaonis	Pharaoh's ant		Yes
Formicinae	1	11	13	49	1111349	FOFON	Insecta	Hymenoptera	Formicidae	Formicinae (subfamily)			Yes
Amblyopone sp.	1	11	13	50	1111350	FOAMB	Insecta	Hymenoptera	Formicidae	Amblyopone sp. (Ponerinae)		Only use this if you are sure it is not Ambylopone pallipes, this is the only known spp in NM in this genus	Yes
Tetramorium sp.	1	11	13	51	1111351	FOTET	Insecta	Hymenoptera	Formicidae	Tetramorium			Yes
Dolichoderinae	1	11	13	52	1111352	FODOL	Insecta	Hymenoptera	Formicidae	Dolichoderinae (subfamily)	Odorous ants		Yes
Pogonomyrmex rugosus	1	11	13	53	1111353	POGRUG	Insecta	Hymenoptera	Formicidae	Pogonomyrmex rugosus	Black and red harvester ant		Yes
Dorymyrmex insanus	1	11	13	54	1111354	DORINS	Insecta	Hymenoptera	Formicidae	Dorymyrmex insanus	Crazy ant		Yes
Ponera sp.	1	11	13	55	1111355	INHYFOPO	Insecta	Hymenoptera	Formicidae	Ponera			Yes
Crematogaster sp.	1	11	13	56	1111356	HYFORCRE	Insecta	Hymenoptera	Formicidae	Crematogaster	Valentine ants (genus)		Yes
Andrenidae	1	11	14	00	1111400	INHYAND	Insecta	Hymenoptera	Andrenidae		Mining bees		Yes
Pompilidae	1	11	15	00	1111500	INHYPOM	Insecta	Hymenoptera	Pompillidae		Spider wasps		Yes
Pompilus scelestus	1	11	15	01	1111501	POPOMSCE	Insecta	Hymenoptera	Pompillidae	Pompilus scelestus	wasp with curly antenna	Only 1 specimen from Jornada del Muerto for all of NM; confirm any further findings	Yes
Pepsis formosa	1	11	15	02	1111502	POMPEPFO	Insecta	Hymenoptera	Pompillidae	Pepsis formosa (tarantula hawk wasp)	Tarantula hawk wasp		Yes
Chalcidoidea	1	11	16	00	1111600	INHYCHA	Insecta	Hymenoptera	Chalcidoidea 		Chalcid wasps		Yes
Halictidae	1	11	17	00	1111700	INHYHAL	Insecta	Hymenoptera	Halictidae		Sweat bees		Yes
Sphecodes sp.	1	11	17	01	1111701	HYHALSPH	Insecta	Hymenoptera	Halictidae	Sphecodes sp.			
Diapriidae	1	11	18	00	1111800	INHYDIA	Insecta	Hymenoptera	Diapriidae				
Mutillidae	1	11	19	00	1111900	INHYMUT	Insecta	Hymenoptera	Mutillidae		Velvet ants		Yes
Dasymutilla sp.	1	11	19	02	1111902	MUDAS	Insecta	Hymenoptera	Mutillidae	Dasymutilla sp.	Velvet ant wasp		Yes
Ceraphronidae	1	11	20	00	1112000	INHYCER	Insecta	Hymenoptera	Ceraphronidae				
Sphecidae	1	11	30	00	1113000	INHYSPH	Insecta	Hymenoptera	Sphecidae		Sand wasps, mud daubers, thread-waisted wasps		Yes
Chlorion aerarium	1	11	30	01	1113001	HYSHPCHL	Insecta	Hymenoptera	Sphecidae	Chlorion aerarium	Cricket wasp		Yes
Figitidae	1	11	40	00	1114000	INHYFIG	Insecta	Hymenoptera	Figitidae		Parasitoid wasps		Yes
Scoliidae	1	11	50	00	1115000	INHYSCO	Insecta	Hymenoptera	Scoliidae				
Campsomeris pilipes	1	11	50	01	1115001	SCCAMPIP	Insecta	Hymenoptera	Scoliidae	Campsomeris pilipes			Yes
Chrysididae	1	11	51	00	1115100	INHYCHR	Insecta	Hymenoptera	Chrysididae		Cuckoo wasps		Yes
Apocrita	1	11	52	00	1115200	INHYAP	Insecta	Hymenoptera	Apocrita (suborder)		Wasps		Yes
Megachilidae	1	11	53	00	1115300	INHYMEG	Insecta	Hymenoptera	Megachilidae		Mason/Leafcutter bees		Yes
Vespidae	1	11	54	00	1115400	INHYVE	Insecta	Hymenoptera	Vespidae		Wasps		Yes
Neuroptera	1	16	00	00	1160000	INNE	Insecta	Neuroptera					
Neuroptera larva	1	16	00	01	1160001	INNELAR	Insecta	Neuroptera			Net-winged insect larva		Yes
Myrmeleontidae	1	16	01	00	1160100	INNEMYR	Insecta	Neuroptera	Myrmeleontidae		Antlion		Yes
Myrmeleontidae larva	1	16	01	01	1160101	NEMYRLA	Insecta	Neuroptera	Myrmeleontidae		Antlion larva		Yes
Chrysopidae	1	16	02	00	1160200	INNECHR	Insecta	Neuroptera	Chrysopidae				
Chrysopidae larva	1	16	02	01	1160201	INNECHLA	Insecta	Neuroptera	Chrysopidae		Lacewing larva		Yes
Blattodea	1	17	00	00	1170000	INBL	Insecta	Blattodea					
Blattidae	1	17	01	01	1170101	INBLBLA	Insecta	Blattodea	Blattidae		Cockroaches		Yes
Orthoptera	1	19	00	00	1190000	INOR	Insecta	Orthoptera			Grasshoppers, crickets, etc		Yes
Caelifera	1	19	00	01	1190001	INORCA	Insecta	Orthoptera	Caelifera (suborder)		All grasshoppers	Generic grasshopper code	Yes
Rhaphidophoridae	1	19	09	00	1190900	INORRHA	Insecta	Orthoptera	Rhaphidophoridae		Camel/cave/spider crickets		Yes
Ceuthophilus pallidus	1	19	09	01	1190901	RHCEUPAL	Insecta	Orthoptera	Rhaphidophoridae	Ceuthophilus pallidus			Yes
Ceuthophilus gertschi	1	19	09	02	1190902	RHCEUGER	Insecta	Orthoptera	Rhaphidophoridae	Ceuthophilus gertschi			
Ceuthophilus sp.	1	19	09	03	1190903	RHCEU	Insecta	Orthoptera	Rhaphidophoridae	Ceuthophilus sp.	Camel cricket (genus)		Yes
Stenopelmatidae	1	19	11	00	1191100	INORSTE	Insecta	Orthoptera	Stenopulmatidae 		Flightless cricketlike insects, esp. Jerusalem crickets		Yes
Stenopelmatus fuscus	1	19	11	01	1191101	STSTEFUS	Insecta	Orthoptera	Stenopelmatidae 	Stenopelmatus fuscus	Jerusalem cricket		Yes
Stenopelmatus sp.	1	19	11	02	1191101	ORSTESTE	Insecta	Orthoptera	Stenopelmatidae 	Stenopelmatus sp.	Jerusalem cricket		Yes
Gryllidae	1	19	37	00	1193700	INORGRY	Insecta	Orthoptera	Gryllidae		True crickets		Yes
Gryllus alogus	1	19	37	01	1193701	GRGRYALO	Insecta	Orthoptera	Gryllidae	Gryllus alogus  	Damp-loving field cricket		Yes
Acrididae	1	19	39	00	1193900	INORACR	Insecta	Orthoptera	Acrididae		Grasshoppers (esp. swarming locusts)		Yes
Syrbula admirabilis	1	19	39	01	1193901	ORACSY	Insecta	Orthoptera	Acrididae	Syrbula admirabilis	Admirable grasshopper		Yes
Myrmecophilus sp.	1	19	40	01	1194001	INORMYR	Insecta	Orthoptera	Myrmecophilidae	Myrmecophilus			Yes
Psocoptera	1	22	00	00	1220000	INPS	Insecta	Psocoptera  			Booklice, barklice, barkflies		Yes
Ectopsocidae	1	22	01	00	1220100	INPSECT	Insecta	Psocoptera  	Ectopsocidae				
Siphonaptera	1	32	00	00	1320000	INSI	Insecta	Siphonaptera			Fleas		Yes
Pulicidae	1	32	01	00	1320100	INSIPUL	Insecta	Siphonaptera	Pulicidae				
Zygentoma	1	42	00	00	1420000	INZY	Insecta	Zygentoma			Silverfish, fishmoths, firebrats		Yes
Lepismatidae	1	42	02	00	1420200	INZYLEP	Insecta	Zygentoma	Lepismatidae		Silverfish		Yes
Nicoletiidae	1	42	03	00	1420300	INZYNIC	Insecta	Zygentoma	Nicoletiidae				
Hemiptera	1	75	00	00	1750000	INHE	Insecta	Hemiptera			True bugs		Yes
Hemiptera larva	1	75	00	01	1750001	INHELA	Insecta	Hemiptera			True bug larva		Yes
Reduviidae	1	75	01	00	1750100	INHERED	Insecta	Hemiptera	Reduviidae		Assassin bugs		Yes
Pselliopus sp.	1	75	01	06	1750106	HEREDPSL	Insecta	Hemiptera	Reduviidae	Pselliopus sp.	Assassin bug (genus)		Yes
Miridae	1	75	02	00	1750200	INHEMIR	Insecta	Hemiptera	Miridae		Plant bugs		Yes
Lygaeidae	1	75	03	00	1750300	INHELYG	Insecta	Hemiptera	Lygaeidae		Seed bugs		Yes
Gerridae	1	75	04	00	1750400	INHEGER	Insecta	Hemiptera	Gerridae				
Cydnidae	1	75	05	00	1750500	INHECYD	Insecta	Hemiptera	Cydnidae		Burrowing bugs		Yes
Rhopalidae	1	75	06	00	1750600	INHERHO	Insecta	Hemiptera	Rhopalidae		Scentless plant bugs		Yes
Largidae	1	75	07	00	1750700	INHELAR	Insecta	Hemiptera	Largedae		Bordered plant bugs		Yes
Pentatomidae	1	75	08	00	1750800	INHEPEN	Insecta	Hemiptera	Pentatomidae		Stink/Shield bugs		Yes
Nabidae	1	75	09	00	1750900	INHENAB	Insecta	Hemiptera	Nabidae		Damsel bugs		Yes
Corimelaenidae	1	75	10	00	1751000	INHECOR	Insecta	Hemiptera	Corimelaenidae		Shield bugs		Yes
Tingidae	1	75	11	00	1751100	INHETIN	Insecta	Hemiptera	Tingidae		Lace bugs		Yes
Cicadellidae	1	75	12	00	1751200	INHECID	Insecta	Hemiptera	Cicadellidae		Leafhoppers	formerly 1150100	Yes
Delphacidae	1	75	13	00	1751300	INHEDEL	Insecta	Hemiptera	Delphacidae		formerly 1150200		
Kinnaridae	1	75	14	00	1751400	INHEKIN	Insecta	Hemiptera	Kinnaridae		formerly 1150300		
Aphididae	1	75	15	00	1751500	INHEAPH	Insecta	Hemiptera	Aphididae		Aphids	formerly 1150400	Yes
Cicadidae	1	75	16	00	1751600	INHECIC	Insecta	Hemiptera	Cicadidae		Typical cicadas	formerly 1150500	Yes
Dermaptera	1	76	00	00	1760000	INDE	Insecta	Dermaptera			Earwigs		Yes
Phasmatodea	1	77	00	00	1770000	INPH	Insecta	Phasmatodea			Stick insects	formerly known as Phasmida	Yes
Mantodea	1	78	00	00	1780000	INMA	Insecta	Mantodea			Praying mantises		Yes
Anoplura	1	79	00	00	1790000	INAN	Insecta	Phthiraptera	Anoplura (suborder)		Sucking lice		Yes
Archaeognatha	1	80	00	00	1800000	INAR	Insecta	Archaeognatha			Bristletails		Yes
Chilopoda	2	00	00	00	2000000	CH	Chilopoda				Centipedes		Yes
Scolopendromorpha	2	01	00	00	2010000	CHSCO	Chilopoda	Scolopendromorpha			Tropical centipedes		Yes
Scolopendridae	2	01	02	00	2010200	CHSCOL	Chilopoda	Scolopendromorpha	Scolopendridae				
Scolopendra polymorpha	2	01	02	01	2010201	SCOPOL	Chilopoda	Scolopendromorpha	Scolopendridae	Scolopendra polymorpha	Common desert centipede		Yes
Scolopendra sp.	2	01	02	02	2010202	CHSCOSCO	Chilopoda	Scolopendromorpha	Scolopendridae	Scolopendra			Yes
Lithobiomorpha	2	02	00	00	2020000	CHLIT	Chilopoda	Lithobiomorpha 			Stone centipedes		Yes
Lithobiidae	2	02	01	00	2020100	CHLITLIT	Chilopoda	Lithobiomorpha 	Lithobiidae				
Henicopidae	2	02	03	00	2020300	CHLITHEN	Chilopoda	Lithobiomorpha 	Henicopidae				
Scutigeromorpha	2	03	00	00	2030000	CHSCU	Chilopoda	Scutigeromorpha			House centipedes		Yes
Arachnida	5	00	00	00	5000000	AR	Arachnida				All arachnids	Please avoid use of this code- refine to spiders, scorpions, ticks, etc.	Yes
Araneae	5	01	00	00	5010000	ARARA	Arachnida	Araneae			Spiders		Yes
Agelenidae	5	01	01	00	5010100	ARARAAGE	Arachnida	Araneae	Agelenidae		Funnel/Grass spiders		Yes
Pholcidae	5	01	02	00	5010200	ARARAPHO	Arachnida	Araneae	Pholcidae		Cellar spiders/ Daddy long-legs		Yes
Psilochorus sp.	5	01	02	01	5010201	ARPHOPSI	Arachnida	Araneae	Pholcidae	Psilochorus			
Physocyclus sp.	5	01	02	02	5010202	ARPHOPHY	Arachnida	Araneae	Pholcidae	Physocyclus			
Physocyclus enaulus	5	01	02	03	5010203	PHPHEN	Arachnida	Araneae	Pholcidae	Physocyclus enaulus	Cellar spider		Yes
Hahniidae	5	01	03	00	5010300	ARARAHAH	Arachnida	Araneae	Hahniidae				
Neoantistea sp.	5	01	03	02	5010302	ARHAHNEO	Arachnida	Araneae	Hahniidae	Neoantistea sp.			
Titanoecidae	5	01	04	00	5010400	ARARATIT	Arachnida	Araneae	Titanoecidae				
Titanoeca sp.	5	01	04	01	5010401	ARATITA	Arachnida	Araneae	Titanoecidae	Titanoeca			Yes
Teminius sp.	5	01	05	01	5010501	ARARATEM	Arachnida	Araneae	Miturgidae	Teminius			Yes
Salticidae	5	01	10	00	5011000	ARARASAL	Arachnida	Araneae	Salticidae		Jumping spiders		Yes
Sitticus sp.	5	01	10	01	5011001	ARSALSIT	Arachnida	Araneae	Salticidae	Sitticus sp.			
Habrocestum sp.	5	01	10	02	5011002	ARSALHAM	Arachnida	Araneae	Salticidae	Habrocestum sp.			
Habronattus sp.	5	01	10	03	5011003	ARSALHAB	Arachnida	Araneae	Salticidae	Habronattus sp.			
Phidippus sp.	5	01	10	04	5011004	ARSALPHI	Arachnida	Araneae	Salticidae	Phidippus sp.	Jumping spider (genus)		Yes
Peckhamia sp.	5	01	10	05	5011005	ARSALPEC	Arachnida	Araneae	Salticidae	Peckhamia			Yes
Dysderidae	5	01	14	00	5011400	ARARADYS	Arachnida	Araneae	Dysderidae		Sowbug eaters		Yes
Dysdera crocata	5	01	14	02	5011402	ARDYSCRO	Arachnida	Araneae	Dysderidae	Dysdera crocata  	Pillbug spider		Yes
Theridiidae	5	01	15	00	5011500	ARARATHE	Arachnida	Araneae	Theridiidae		Cobweb weavers		Yes
Euryopis sp.	5	01	15	01	5011501	ARTHEEUR	Arachnida	Araneae	Theridiidae	Euryopis sp.			
Latrodectus sp.	5	01	15	02	5011502	ARTHELAT	Arachnida	Araneae	Theridiidae	Latrodectus sp.	Widow spiders (genus)		Yes
Steatoda borealis	5	01	15	03	5011503	THSTEBOR	Arachnida	Araneae	Theridiidae	Steatoda borealis  			
Latrodectus hesperus	5	01	15	04	5011504	ARLATHES	Arachnida	Araneae	Theridiidae	Latrodectus hesperus (black widow)	Black widow spider		Yes
Steatoda sp.	5	01	15	05	5011505	ARTHESTE	Arachnida	Araneae	Theridiidae	Steatoda sp.			
Crustulina sp.	5	01	15	06	5011506	ARTHECRU	Arachnida	Araneae	Theridiidae	Crustulina sp.			
Gnaphosidae	5	01	16	00	5011600	ARARAGNA	Arachnida	Araneae	Gnaphosidae		Ground/Mouse spiders		Yes
Zelotes sp.	5	01	16	04	5011604	ARGNAZEL	Arachnida	Araneae	Gnaphosidae	Zelotes sp.	Ground spider (genus)		Yes
Haplodrassus sp.	5	01	16	05	5011605	ARGNAHAP	Arachnida	Araneae	Gnaphosidae	Haplodrassus sp.			
Gnaphosa sp.	5	01	16	06	5011606	ARGNAGNA	Arachnida	Araneae	Gnaphosidae	Gnaphosa sp.			Yes
Poecilochroa sp.	5	01	16	07	5011607	ARGNAPOE	Arachnida	Araneae	Gnaphosidae	Poecilochroa sp.			
Zelotes fratris	5	01	16	08	5011608	GNSELFRA	Arachnida	Araneae	Gnaphosidae	Zelotes fratris			
Zelotes lasalanus	5	01	16	09	5011609	GNZELLAS	Arachnida	Araneae	Gnaphosidae	Zelotes lasalanus  			
Zelotes tuobus	5	01	16	10	5011610	GNZELTUO	Arachnida	Araneae	Gnaphosidae	Zelotes tuobus 			
Zelotes anglo	5	01	16	11	5011611	GNZELANG	Arachnida	Araneae	Gnaphosidae	Zelotes anglo  			
Herpyllus sp.	5	01	16	12	5011612	ARGNAHER	Arachnida	Araneae	Gnaphosidae	Herpyllus sp.			Yes
Herpyllus ecclesiasticus	5	01	16	13	5011613	GNHERECC	Arachnida	Araneae	Gnaphosidae	Herpyllus ecclesiasticus  			
Cesonia sp.	5	01	16	14	5011614	ARGNACES	Arachnida	Araneae	Gnaphosidae	Cesonia sp.			Yes
Micaria sp.	5	01	16	15	5011615	ARGNAMIC	Arachnida	Araneae	Gnaphosidae	Micaria sp.			Yes
Gnaphosa sericata	5	01	16	16	5011616	GNGNASER	Arachnida	Araneae	Gnaphosidae	Gnaphosa sericata			Yes
Callilepis sp.	5	01	16	17	5011617	ARGNACAL	Arachnida	Araneae	Gnaphosidae	Callilepis			Yes
Urozelotes sp.	5	01	16	18	5011618	ARAGNAUR	Arachnida	Araneae	Gnaphosidae	Urozelotes			Yes
Urozelotes rusticus	5	01	16	19	5011619	GNURORUS	Arachnida	Araneae	Gnaphosidae	Urozelotes rusticus			Yes
Drassyllus sp.	5	01	16	37	5011637	ARGNADRA	Arachnida	Araneae	Gnaphosidae	Drassyllus sp.			Yes
Tetragnathidae	5	01	21	00	5012100	ARARATET	Arachnida	Araneae	Tetragnathidae				
Tetragnatha sp.	5	01	21	01	5012102	ARTETTET	Arachnida	Araneae	Tetragnathidae	Tetragnatha sp.			
Pachygnatha sp.	5	01	21	02	5012103	ARTETPAC	Arachnida	Araneae	Tetragnathidae	Pachygnatha sp.			
Linyphiidae	5	01	22	00	5012200	ARARALIN	Arachnida	Araneae	Linyphiidae 		Money/Sheet-web spiders		Yes
Clubionidae	5	01	23	00	5012300	ARARACLU	Arachnida	Araneae	Clubionidae				
Lycosidae	5	01	24	00	5012400	ARARALYC	Arachnida	Araneae	Lycosidae		Wolf spiders		Yes
Lycosa sp.	5	01	24	01	5012401	ARLYCLYC	Arachnida	Araneae	Lycosidae	Lycosa sp.			
Pirata sp.	5	01	24	02	5012402	ARLYCPIR	Arachnida	Araneae	Lycosidae	Pirata sp.			
Allocosa sp.	5	01	24	03	5012403	ARLYCALL	Arachnida	Araneae	Lycosidae	Allocosa sp.			
Pardosa sp.	5	01	24	04	5012404	ARLYCPAR	Arachnida	Araneae	Lycosidae	Pardosa sp.	Wolf spider (genus)		Yes
Hogna sp.	5	01	24	06	5012406	ARLYCHOG	Arachnida	Araneae	Lycosidae	Hogna sp.	Wolf spider (genus)		Yes
Alopecosa sp.	5	01	24	22	5012422	ARLYCALO	Arachnida	Araneae	Lycosidae	Alopecosa sp.			
Dictynidae	5	01	25	00	5012500	ARARADIC	Arachnida	Araneae	Dictynidae		Hackled band-producing spiders		Yes
Mallos sp.	5	01	25	01	5012501	ARDICMAL	Arachnida	Araneae	Dictynidae	Mallos sp.			
Dictyna subulata	5	01	25	02	5012502	ARDICSUB	Arachnida	Araneae	Dictynidae	Dictyna subulata  			
Dictyna sp.	5	01	25	03	5012503	ARDICDIC	Arachnida	Araneae	Dictynidae	Dictyna sp.			
Lathys sp.	5	01	25	04	5012504	ARADICLA	Arachnida	Araneae	Dictynidae	Lathys			Yes
Araneidae	5	01	26	00	5012600	ARARAARA	Arachnida	Araneae	Araneidae		Orb-weaving spiders	Family was formerly listed as Micryphantidae in this list, not sure why- ML said this was incorrect. Changed to Araneidae -RC	Yes
Araneus trifolium	5	01	26	02	5012602	ARARATRI	Arachnida	Araneae	Araneidae 	Araneus trifolium			
Thomisidae	5	01	45	00	5014500	ARARATHO	Arachnida	Araneae	Thomisidae		Crab spiders		Yes
Misumenops sp.	5	01	45	01	5014501	ARTHOMIS	Arachnida	Araneae	Thomisidae	Misumenops			
Xysticus sp.	5	01	45	02	5014502	ARTHOXYS	Arachnida	Araneae	Thomisidae	Xysticus	Ground crab spiders (genus)		Yes
Bassaniana sp.	5	01	45	03	5014503	ARTHOBAS	Arachnida	Araneae	Thomisidae	Bassaniana			Yes
Homalonychidae	5	01	46	00	5014600	ARARAHOM	Arachnida	Araneae	Homalonychidae				
Oxyopidae	5	01	47	00	5014700	ARAROXY	Arachnida	Araneae	Oxyopidae		Lynx spiders		Yes
Meriola sp.	5	01	89	01	5019601	ARTRAMER	Arachnida	Araneae	Trachelidae	Meriola sp.	Wandering spider (genus)		Yes
Trachelas sp.	5	01	89	02	5018902	ARTRATRA	Arachnida	Araneae	Trachelidae	Trachelas sp.			Yes
Phrurolithidae	5	01	90	00	5019000	ARRAPHR	Arachnida	Araneae	Phrurolithidae				Yes
Phrurotimpus sp.	5	01	90	01	5019001	ARPHRPHR	Arachnida	Araneae	Phrurolithidae	Phrurotimpus			Yes
Piabuna sp.	5	01	90	02	5019002	ARPHRPIA	Arachnida	Araneae	Phrurolithidae	Piabuna 			Yes
Loxosceles sp.	5	01	91	00	5019100	ARSICLOX	Arachnida	Araneae	Sicariidae	Loxosceles sp.	Recluse spiders (genus)		Yes
Amaurobiidae	5	01	92	00	5019200	ARARAMA	Arachnida	Araneae	Amaurobiidae		Three-clawed ecribellate spiders		Yes
Pisauridae	5	01	93	00	5019300	ARARAPIS	Arachnida	Araneae	Pisauridae		Nursery web spiders		Yes
Oonopidae	5	01	94	00	5019400	ARARAOON	Arachnida	Araneae	Oonopidae		Goblin spiders		Yes
Orchestina sp.	5	01	94	01	5019401	AROONORC	Arachnida	Araneae	Oonopidae	Orchestina sp.			Yes
Oonops sp.	5	01	94	02	5019402	AROONOON	Arachnida	Araneae	Oonopidae	Oonops sp.			Yes
Oecobiidae	5	01	95	00	5019500	ARARAOEC	Arachnida	Araneae	Oecobiidae		Disc-web spiders		Yes
Corinnidae	5	01	96	00	5019600	ARARACOR	Arachnida	Araneae	Corinnidae		Corinnid sac spiders		Yes
Anyphaenidae	5	01	97	00	5019700	ARARAANY	Arachnida	Araneae	Anyphaenidae		Ghost spiders		Yes
Filistatidae	5	01	98	00	5019800	ARARAFIL	Arachnida	Araneae	Filistatidae		Crevice-weaving spiders		Yes
Micryphantidae	5	01	99	00	5019900	ARARAMIC	Arachnida	Araneae	Micryphantidae 				
Acari	5	02	00	00	5020000	ARACA	Arachnida	Acari (subclass)			Mites		Yes
Oribatida	5	02	01	00	5020100	ARACAORI	Arachnida	Oribatida			Ant-head-like mites	Used to be in the database as Oribatei, Oribatida is the accepted name now -RC	Yes
Pseudoscorpiones	5	03	00	00	5030000	ARPSE	Arachnida	Pseudoscorpiones			Pseudoscorpions		Yes
Pseudoscorpion larvae	5	03	00	01	5030001	ARPSELAR	Arachnida	Pseudoscorpiones					
Solifugae	5	04	00	00	5040000	ARSOL	Arachnida	Solifugae			Wind scorpions		Yes
Opiliones	5	05	00	00	5050000	AROPI	Arachnida	Opiliones			Harvestmen		Yes
Thelyphonida	5	06	00	00	5060000	ARURO	Arachnida	Thelyphonida			Formerly known as Uropygi		
Thelyphonidae	5	06	01	00	5060100	ARUROTHE	Arachnida	Thelyphonida	Thelyphonidae		Whip scorpions/vinegaroons		Yes
Mastigoproctus giganteus	5	06	01	01	5060101	ARMASGIG	Arachnida	Thelyphonida	Thelyphonidae	Mastigoproctus giganteus	Vinegaroon		Yes
Ixodida	5	08	00	00	5080000	ARIXO	Arachnida	Ixodida			Hard ticks		Yes
Ixodidae	5	08	01	00	5080100	ARIXOIX	Arachnida	Ixodida	Ixodidae		Hard ticks		Yes
Malacostraca	6	00	00	00	6000000	MA	Malacostraca						
Isopoda	6	02	00	00	6020000	MAISO	Malacostraca	Isopoda			All isopods		Yes
Porcellionidae	6	02	01	00	6020100	MAISOPOR	Malacostraca	Isopoda	Porcellionidae				
Porcellio laevis	6	02	01	01	6020101	PORLAE	Malacostraca	Isopoda	Porcellionidae	Porcellio laevis  	Sowbug		Yes
Armadilliidae	6	02	02	00	6020200	MAISOARM	Malacostraca	Isopoda	Armadilliidae				
Armadillidium vulgare	6	02	02	02	6020202	ARMVUL	Malacostraca	Isopoda	Armadilliidae	Armadillidium vulgare  	Pillbug		Yes
Diplopoda	7	00	00	00	7000000	DI	Diplopoda				Millipedes		Yes
Polydesmida	7	01	00	00	7010000	DIPOD	Diplopoda	Polydesmida					Yes
Julida	7	02	00	00	7020000	DIJUL	Diplopoda	Julida					Yes
Polyxenida	7	03	00	00	7030000	DIPOX	Diplopoda	Polyxenida			Bristly millipedes		Yes
