Year,Site number,Species,cover_total
2007,13,PACA6,2.33
2007,13,PAOB,7.03
2007,13,PODEW,38.91
2007,13,POMO5,0.06
2007,13,SAEX,164.72
2007,13,SAGO,2.57
2007,13,SCPU10,0.04
2007,13,SOCA6,4.12
2007,13,SONU2,1.28
2007,13,SPCO4,0.07
2007,13,SPORO,18.46
2007,13,SYPR5,0.07
2007,13,TACH2,5.98
2007,13,ULPU,4.39
2007,13,XAST,3.76
2007,14,AMFR,3.32
2007,14,AMPS,0.3
2007,14,ANCA10,1
2007,14,APCA,0.52
2007,14,BASA4,1.96
2007,14,CAREX,4.13
2007,14,COCA5,0.67
2007,14,DISP,45.44
2007,14,ELAN,134.06
2007,14,GRASS,0.12
2007,14,HOJU,0.99
2007,14,JUBA,10.79
2007,14,MUAS,64.64
2007,14,PAOB,0.54
2007,14,PHAU7,0.64
2007,14,PODEW,124.1
2007,14,PRPU,0.78
2007,14,SAEX,15.19
2007,14,SAGO,1.52
2007,14,SPSA3,1.45
2007,14,TACH2,73.97
2007,15,ANCA10,125.38
2007,15,BASC5,85.37
2007,15,DISP,30.63
2007,15,ELAN,45.56
2007,15,ELEL5,1.32
2007,15,HOJU,0.76
2007,15,LYTO,6.47
2007,15,MUAS,30.34
2007,15,PODEW,31.34
2007,15,SAEX,10.6
2007,15,TACH2,8.15
2007,15,THPO7,18.53
2007,16,AMPS,4.82
2007,16,ANCA10,75.33
2007,16,BASC5,11.58
2007,16,CRTE4,6.1
2007,16,DISP,6.24
2007,16,ELAN,22.18
2007,16,ELEL5,0.32
2007,16,HEAN3,4.52
2007,16,HOJU,0.67
2007,16,LYTO,0.87
2007,16,MUAS,84.87
2007,16,MUAS/DISP,3.32
2007,16,PAOB,3.56
2007,16,PODEW,12.5
2007,16,SAEX,0.15
2007,16,SAGO,0.08
2007,16,SATR12,1.29
2007,16,SPAI,2.65
2007,16,TACH2,52.03
2007,16,THPO7,0.99
2007,17,ACHY,4.07
2007,17,AIAL,9.98
2007,17,AMBRO,0.13
2007,17,AMFR,0.02
2007,17,AMPS,0.92
2007,17,BASC5,72.58
2007,17,BRINI,2.52
2007,17,CHAL7,0.66
2007,17,CHENO,4.79
2007,17,COCA5,1.5
2007,17,DAWR2,1.42
2007,17,DIWI2,2.65
2007,17,ELAN,5.2
2007,17,ELEL5,0.54
2007,17,FORB,0.03
2007,17,GRASS,0.07
2007,17,HEAN3,11.13
2007,17,HECI,0.01
2007,17,LASE,1.19
2007,17,MACA2,0.9
2007,17,MEOF,0.69
2007,17,PODEW,38.07
2007,17,RIAU,0.66
2007,17,SAGO,2.71
2007,17,SATR12,44.6
2007,17,SOEL,0.19
2007,17,SOLAN,0.02
2007,17,SPAI,9.17
2007,17,SPAN3,0.69
2007,17,SPCO4,0.26
2007,17,SPORO,9.15
2007,18,ANCA10,1.81
2007,18,BASC5,74.17
2007,18,COCA5,4.29
2007,18,DISP,0.01
2007,18,ELAN,1.28
2007,18,HEAN3,3.43
2007,18,LASE,2.82
2007,18,PODEW,84.63
2007,18,SATR12,31.54
2007,18,SPCR,0.41
2007,18,TACH2,0.45
2007,19,ANCA10,22.15
2007,19,COCA5,1.39
2007,19,ELAN,64.58
2007,19,HOJU,1.11
2007,19,PODEW,168.67
2007,19,RIAU,3.95
2007,19,SAEX,0.39
2007,19,SAGO,7.01
2007,19,TACH2,145.76
2007,20,ATCA2,0.55
2007,20,BASC5,7.44
2007,20,CAREX,1.79
2007,20,CUAR,0.08
2007,20,ELAN,36.52
2007,20,EUOC4,0.19
2007,20,HEAN3,0.91
2007,20,HOJU,0.11
2007,20,MEOF,14.05
2007,20,MOAL,19.33
2007,20,PODEW,55.05
2007,20,SAEX,60.04
2007,20,SAGO,1.14
2007,20,SATR12,43.41
2007,20,SPCO4,0.32
2007,20,SPFL2,1.53
2007,20,TACH2,2.9
2007,20,ULPU,41.76
2007,21,AIAL,3.24
2007,21,AMFR,6.84
2007,21,APCA,0.67
2007,21,BASC5,5.11
2007,21,BRCA6,0.08
2007,21,CHAL7,0.72
2007,21,COCA5,7.31
2007,21,ELEL5,8.26
2007,21,FORB,0.06
2007,21,GAMO5,15.23
2007,21,HEAN3,1.7
2007,21,LASE,0.01
2007,21,MACA2,1.05
2007,21,MEOF,6.36
2007,21,PAVI5,18.09
2007,21,PHYSA,1.02
2007,21,PODEW,95.54
2007,21,SAEX,30.18
2007,21,SATR12,3.92
2007,21,SOCA6,0.56
2007,21,SOEL,19.76
2007,21,SOLAN,0.47
2007,21,SPAN3,3.04
2007,21,SPORO,1.03
2007,21,ULPU,34.42
2007,22,ANCA10,15
2007,22,ASSU2,0.11
2007,22,BASA4,1.89
2007,22,BRCA6,0.96
2007,22,BROMU,0.22
2007,22,COAR4,3.45
2007,22,COCA5,5.67
2007,22,ELAN,2.93
2007,22,ELCA4,7.05
2007,22,ELEL5,2.35
2007,22,EQLA,10.55
2007,22,GAMO5,11.87
2007,22,GLLE3,6.69
2007,22,HEAN3,4.34
2007,22,JUARL,7.35
2007,22,LASE,11.1
2007,22,MEOF,6.6
2007,22,MUAS,11.15
2007,22,PAOB,3.6
2007,22,PAVI5,1.09
2007,22,PODEW,175.78
2007,22,SAEX,19.11
2007,22,SAGO,27.37
2007,22,SATR12,0.28
2007,22,SOAR2,0.21
2007,22,SOEL,0.34
2007,22,SPAN3,1
2007,22,SPORO,0.5
2007,22,SYPR5,1.81
2007,22,ULPU,0.58
2007,23,ACHY,0.77
2007,23,AIAL,0.74
2007,23,BASC5,8.04
2007,23,BROMU,0.11
2007,23,COCA5,6.7
2007,23,CYES,0.42
2007,23,ELAN,8.34
2007,23,ELEL5,11.4
2007,23,GAMO5,1.68
2007,23,GRASS,0.07
2007,23,HEAN3,1.37
2007,23,LASE,2.7
2007,23,MACA2,0.68
2007,23,MAPIP4,0.19
2007,23,MARE11,0.61
2007,23,MEOF,17.17
2007,23,PACA6,0.07
2007,23,PODEW,177.42
2007,23,SATR12,1.44
2007,23,SEFL3,0.48
2007,23,SPAN3,0.2
2007,23,SPCR,3.63
2007,23,SPORO,8.6
2007,23,TACH2,5.5
2007,23,TRAGO,0.64
2007,23,TYPHA,1.55
2007,23,ULPU,19.13
2007,23,VETH,0.02
2007,23,.,0.04
2007,24,ARDR4,0.19
2007,24,ARPU9,0.34
2007,24,BROMU,0.02
2007,24,CHVI4,0.13
2007,24,COCA5,0.52
2007,24,DISP,7.52
2007,24,ELEL5,1.39
2007,24,ERBE2,0.09
2007,24,ERICA,4.58
2007,24,ERIGE2,0.09
2007,24,FOPUP,6.72
2007,24,GUSA2,25.76
2007,24,HEAN3,0.12
2007,24,JUMO,0.46
2007,24,MAPIP4,0.23
2007,24,MUAS,4.15
2007,24,OPIM,0.39
2007,24,OPPH,2.09
2007,24,PODEW,52.61
2007,24,SATR12,0.08
2007,24,SEFL3,0.08
2007,24,SOEL,0.01
2007,24,SPAN3,0.49
2007,24,SPCR,9.59
2007,24,SPGR2,0.03
2007,24,SPORO,26.92
2007,24,SPSA3,0.19
2007,24,SYPR5,0.15
2008,1,AMFR,2.97
2008,1,ELAN,2.81
2008,1,ELCA4,0.17
2008,1,ELEL5,1.05
2008,1,FOPUP,159.65
2008,1,GUSA2,0.17
2008,1,MACA2,0.3
2008,1,PAVI5,7.37
2008,1,PODEW,173.16
2008,1,SAGO,0.56
2008,1,SATR12,0.46
2008,1,SOEL,0.14
2008,1,SPAI,0.37
2008,1,SPAN3,0.47
2008,1,SPCR,0.27
2008,1,TACH2,0.41
2008,1,ULPU,16.76
2008,2,ACHY,2.7
2008,2,AMFR,1.43
2008,2,ARPU9,0.61
2008,2,ATCA2,0.75
2008,2,CHAMA15,0.09
2008,2,ELEL5,21.98
2008,2,GUSA2,10.43
2008,2,HESPE11,0.1
2008,2,MEOF,9.76
2008,2,PAOB,0.15
2008,2,PODEW,142.39
2008,2,SATR12,0.93
2008,2,SEFL3,0.08
2008,2,SPAN3,0.01
2008,2,SPCR,0.01
2008,2,SPORO,3.48
2008,3,AMFR,2.08
2008,3,AMPS,3.27
2008,3,ANCA10,151.62
2008,3,APCA,4.23
2008,3,BASA4,2.27
2008,3,CAREX,49.75
2008,3,ELAN,25.02
2008,3,ELCA4,0.61
2008,3,EUOC4,2.3
2008,3,FOPUP,19.75
2008,3,HOJU,0.77
2008,3,MOAL,10.75
2008,3,MUAS,30.69
2008,3,PAOB,0.35
2008,3,PAVI5,14.22
2008,3,PODEW,122.59
2008,3,RIAU,2.64
2008,3,SAEX,71.6
2008,3,SAGO,14.21
2008,3,ULPU,29.83
2008,4,AMPS,8.81
2008,4,APCA,2.93
2008,4,ASSU2,2.18
2008,4,CAREX,36.98
2008,4,DISP,6.18
2008,4,ELAN,97.74
2008,4,ELCA4,4.91
2008,4,EQLA,2.08
2008,4,EUOC4,5.99
2008,4,GRASS,0.11
2008,4,HEAN3,0.25
2008,4,HOJU,0.01
2008,4,LASE,0.03
2008,4,LATAP,0.01
2008,4,MEOF,7.8
2008,4,MINT,4.26
2008,4,MUAS,25.23
2008,4,PACA6,0.23
2008,4,PAOB,79.54
2008,4,PODEW,137.05
2008,4,SAEX,65.17
2008,4,SAGO,0.07
2008,4,SPAI,0.8
2008,4,SYPR5,0.32
2008,5,ACHY,0.35
2008,5,DISP,3.34
2008,5,ELAN,0.05
2008,5,ELEL5,2.43
2008,5,FOPUP,0.74
2008,5,JUMO,0.12
2008,5,MACA2,0.79
2008,5,MEOF,0.46
2008,5,MUAS,1.28
2008,5,POCO,0.01
2008,5,PODEW,263.56
2008,5,SATR12,2.03
2008,5,SEFL3,1.28
2008,6,AIAL,3.44
2008,6,AMPS,0.36
2008,6,BASC5,29.67
2008,6,BRINI,1.29
2008,6,BROMU,0.07
2008,6,COAR4,0.66
2008,6,ELAN,37.03
2008,6,ELEL5,1.9
2008,6,GLLE3,7.32
2008,6,GRASS,0.63
2008,6,HECI,14.85
2008,6,PODEW,37.53
2008,6,RIAU,3.68
2008,6,SATR12,19.37
2008,6,SELE6,7.67
2008,6,SEVI4,0.02
2008,6,SOEL,21.29
2008,6,SOLAN,0.71
2008,6,SPAI,9.43
2008,6,SPAN3,8.61
2008,6,SPCO4,1.05
2008,6,SPCR,2.66
2008,6,SPORO,2.64
2008,6,TACH2,11.04
2008,6,UNK,0.13
2008,7,ARPU9,2.13
2008,7,BOAR,48.94
2008,7,BOBA2,105.46
2008,7,CHAMA15,5.31
2008,7,DALA3,0.28
2008,7,DIWI2,0.18
2008,7,FOPUP,1.53
2008,7,GUSA2,7.64
2008,7,MACA2,0.08
2008,7,OEPA,0.72
2008,7,PODEW,26.15
2008,7,POHA5,39.28
2008,7,POOL,9.88
2008,7,PSSC6,13.62
2008,7,SEFL3,0.55
2008,7,SPCO4,8.04
2008,7,SPCR,2.65
2008,7,SPFL2,3.97
2008,7,SPGI,2.69
2008,7,SPHAE,0.11
2008,7,SPORO,2.63
2008,7,TACH2,27.16
2008,7,TRTE,0.32
2008,8,AIAL,6.65
2008,8,AMFR,0.24
2008,8,BASA4,0.99
2008,8,BASC5,10.52
2008,8,BOCU,0.91
2008,8,BOGR2,1.39
2008,8,BRCA6,1.46
2008,8,BRINI,1.06
2008,8,BROMU,0.25
2008,8,CYDA,4.6
2008,8,ECMUM,1.51
2008,8,ELAN,1.34
2008,8,ELCA4,5.99
2008,8,ERAGR,0.06
2008,8,FORB,0.02
2008,8,GRASS,0.21
2008,8,GUSA2,0.19
2008,8,HOJU,7.85
2008,8,LASE,0.18
2008,8,MACA2,8.09
2008,8,MEOF,12.72
2008,8,MOAL,11.86
2008,8,PACA6,0.13
2008,8,PASM,1.91
2008,8,PODEW,164.25
2008,8,RIAU,0.49
2008,8,SAGO,21.31
2008,8,SATR12,13.89
2008,8,SEED,0.18
2008,8,SPAI,3.57
2008,8,SPCR,9.71
2008,8,SPORO,3.07
2008,8,THPO7,40.5
2008,8,ULPU,8.89
2008,8,XAST,0.14
2008,9,AGGI2,2.41
2008,9,AMPS,27.03
2008,9,APCA,22.58
2008,9,ASCLE,0.17
2008,9,ASOF,1.87
2008,9,ATMI2,64.71
2008,9,BASA4,1.42
2008,9,BASC5,83.07
2008,9,CACA4,0.03
2008,9,CADR,0.03
2008,9,CAPE42,0.2
2008,9,CAREX,36.11
2008,9,CAUT,3.63
2008,9,CIRSI,0.43
2008,9,CLCO2,59.51
2008,9,COAR4,1.22
2008,9,DISP,5.56
2008,9,ELAN,16.15
2008,9,ELCA4,0.44
2008,9,ELTR7,0.05
2008,9,EQLA,0.15
2008,9,EQUIS,0.01
2008,9,FOPUP,25.67
2008,9,GAMO5,0.05
2008,9,GLLE3,0.47
2008,9,GRASS,0.93
2008,9,HEAN3,0.4
2008,9,HOJU,0.17
2008,9,JUARL,15.09
2008,9,LASE,0.49
2008,9,LEMNA,0.5
2008,9,LEOR,0.64
2008,9,MEOF,2.05
2008,9,MUAS,76.36
2008,9,OEELH2,0.59
2008,9,PAVI5,2.2
2008,9,PODEW,31.17
2008,9,ROPS,5.26
2008,9,ROWO,52.8
2008,9,SAEX,29.95
2008,9,SAGIT,0.13
2008,9,SAGO,1.32
2008,9,SCACO2,0.56
2008,9,SCAM6,2.95
2008,9,SCPA8,3.57
2008,9,SCPU10,1.79
2008,9,SPAI,1.45
2008,9,SPAN3,0.06
2008,9,SPSA3,0.06
2008,9,SYER,0.65
2008,9,SYPR5,7.64
2008,9,TYLA,8.73
2008,9,ULPU,3.98
2008,10,ARDR4,9.3
2008,10,ARPU9,0.75
2008,10,ASSU2,0.29
2008,10,BASA4,2.54
2008,10,BOGR2,0.65
2008,10,BREUC2,1.1
2008,10,CHAMA15,0.28
2008,10,DALA3,0.57
2008,10,ELAN,8.61
2008,10,ELEL5,0.06
2008,10,GLLE3,0.63
2008,10,GRASS,2.22
2008,10,GUSA2,1.73
2008,10,MACA2,0.02
2008,10,MEOF,13.24
2008,10,MOAL,2.57
2008,10,OPPH,2.06
2008,10,PAVI5,16.3
2008,10,PODEW,50.52
2008,10,RATA,1.15
2008,10,SAEX,11.13
2008,10,SEFL3,0.22
2008,10,SOCA6,1.2
2008,10,SPAI,16.92
2008,10,SPAN3,0.49
2008,10,SPORO,0.83
2008,10,TACH2,9.69
2008,10,ULPU,14.72
2008,11,AMCO3,4.09
2008,11,AMFR,1.94
2008,11,AMPS,1.28
2008,11,ATCA2,0.28
2008,11,CRTE4,0.09
2008,11,DISP,0.04
2008,11,ELEL5,0.03
2008,11,FOPUP,11.05
2008,11,GRASS,0.32
2008,11,GUSA2,0.05
2008,11,HEAN3,2.11
2008,11,LASE,0.05
2008,11,MEOF,5.5
2008,11,PIOP,2.12
2008,11,PODEW,143.89
2008,11,RATA,6.57
2008,11,RIAU,0.07
2008,11,SAEX,1.71
2008,11,SAGO,9.14
2008,11,SATR12,5.12
2008,11,SPAN3,1.25
2008,11,TACH2,0.23
2008,11,ULPU,5.4
2008,12,AMPS,2.28
2008,12,ARDR4,0.56
2008,12,ASSU2,0.54
2008,12,BRCA6,0.01
2008,12,CHAMA15,0.1
2008,12,CYES,1.69
2008,12,DISP,0.36
2008,12,ELAN,1.14
2008,12,ELCA4,0.79
2008,12,ELEL5,0.63
2008,12,FOPUP,6.17
2008,12,HEAN3,0.61
2008,12,HOJU,2.41
2008,12,LASE,1.89
2008,12,MEOF,2.12
2008,12,MUAS,5.33
2008,12,PAOB,0.01
2008,12,PAVI5,14.87
2008,12,PODEW,147.65
2008,12,SAEX,3.24
2008,12,SAGO,13.3
2008,12,SARA3,3.39
2008,12,SATR12,13.5
2008,12,SOCA6,0.53
2008,12,SONCH,0.79
2008,12,SPAI,12.51
2008,12,SPAN3,0.9
2008,12,TACH2,0.85
2008,12,ULPU,1.04
2008,13,AGGI2,2.67
2008,13,AMPS,29.54
2008,13,ANDRO,0.27
2008,13,APCA,0.67
2008,13,BASA4,16.24
2008,13,BIFR,0.21
2008,13,BROMU,0.05
2008,13,CAREX,6.42
2008,13,CESP4,0.44
2008,13,CHAMA15,0.78
2008,13,COCA5,5.55
2008,13,CYES,18.79
2008,13,DISP,0.64
2008,13,ECMUM,1.71
2008,13,ELAN,30.11
2008,13,ELCA4,8.38
2008,13,ELEOC,0.09
2008,13,ELTR7,8.2
2008,13,EQLA,25.51
2008,13,ERPE,12.33
2008,13,EUOC4,16.92
2008,13,FORB,2.1
2008,13,GAMO5,0.02
2008,13,GRASS,4.6
2008,13,HEAN3,0.09
2008,13,HOJU,0.16
2008,13,JUARL,0.6
2008,13,LASE,0.03
2008,13,MEOF,9.04
2008,13,MUAS,17.65
2008,13,OEELH2,1.36
2008,13,PACA6,2.86
2008,13,PAOB,11.99
2008,13,PODEW,28.35
2008,13,POMO5,0.63
2008,13,POPR,1.49
2008,13,SAEX,159.32
2008,13,SAGO,2.45
2008,13,SARA3,1.36
2008,13,SCPH,0.49
2008,13,SCPU10,0.17
2008,13,SOCA6,3.41
2008,13,SONU2,2.77
2008,13,SPAI,0.7
2008,13,SPCR,0.03
2008,13,SPORO,12.5
2008,13,SYER,0.04
2008,13,SYPR5,1.78
2008,13,TACH2,4.83
2008,13,ULPU,5.19
2008,13,XASP2,1.39
2008,13,XAST,2.42
2008,14,AMPS,2.95
2008,14,ANCA10,1.82
2008,14,APCA,0.28
2008,14,BASA4,1.54
2008,14,CAREX,6.33
2008,14,DISP,51.37
2008,14,DISP/MUAS,63.05
2008,14,ELAN,128.55
2008,14,GRASS,0.39
2008,14,HOJU,0.01
2008,14,JUARL,9.8
2008,14,JUBA,2.01
2008,14,MUAS,28.42
2008,14,PAOB,0.48
2008,14,PHAU7,0.2
2008,14,PODEW,122.65
2008,14,PRPU,0.86
2008,14,SAEX,11.8
2008,14,SAGO,1.9
2008,14,SCPU10,0.08
2008,14,SPAI,0.41
2008,14,SPSA3,3.54
2008,14,TACH2,72.37
2008,15,ANCA10,116.7
2008,15,BASC5,41.84
2008,15,DISP,45.51
2008,15,ELAN,7.45
2008,15,GRASS,0.25
2008,15,LYTO,1.46
2008,15,MUAS,34.07
2008,15,PODEW,19.5
2008,15,SAEX,9.27
2008,15,TACH2,3.92
2008,15,THPO7,14.16
2008,16,ACHY,0.66
2008,16,AMPS,4.27
2008,16,ANCA10,71.23
2008,16,BASC5,12.63
2008,16,COCA5,0.03
2008,16,CRTE4,0.87
2008,16,DISP,50.16
2008,16,ELAN,28.32
2008,16,HEAN3,1.53
2008,16,LASE,0.03
2008,16,LYTO,2.97
2008,16,MUAS,120.99
2008,16,PAOB,3.81
2008,16,PODEW,14.17
2008,16,SAEX,0.48
2008,16,SATR12,1.95
2008,16,SOEL,0.17
2008,16,SPAI,1.68
2008,16,TACH2,18.97
2008,16,THPO7,0.84
2008,17,ACHY,2.86
2008,17,AIAL,8.44
2008,17,ARPU9,0.1
2008,17,BASC5,89.5099999999999
2008,17,BRINI,2.8
2008,17,CHAMA15,0.26
2008,17,CHFR3,0.86
2008,17,CHPR5,0.6
2008,17,DAWR2,0.27
2008,17,ELAN,14.73
2008,17,ELEL5,0.84
2008,17,HECI,0.02
2008,17,MEOF,0.07
2008,17,PHVI5,0.27
2008,17,PHYSA,0.07
2008,17,PODEW,38.43
2008,17,RIAU,0.76
2008,17,SAGO,5
2008,17,SATR12,28.86
2008,17,SOEL,0.82
2008,17,SPAI,13.13
2008,17,SPAN3,1.48
2008,17,SPCO4,0.27
2008,17,SPCR,7.66
2008,17,SPORO,10.12
2008,18,ANCA10,2.96
2008,18,BASC5,147.65
2008,18,DISP,0.15
2008,18,ECMUM,0.55
2008,18,ELAN,0.98
2008,18,FORB,0.06
2008,18,HEAN3,5.48
2008,18,HOJU,0.54
2008,18,LASE,0.44
2008,18,MACA2,0.8
2008,18,PACA6,1.8
2008,18,PODEW,85.98
2008,18,SATR12,4.57
2008,18,TACH2,2.72
2008,18,XANTH2,0.15
2008,19,ANCA10,18.56
2008,19,COCA5,0.05
2008,19,ELAN,55.98
2008,19,PODEW,153.65
2008,19,RIAU,5.16
2008,19,SAEX,0.59
2008,19,SAGO,5.97
2008,19,TACH2,134.01
2008,20,BASC5,8.6
2008,20,CAREX,0.41
2008,20,CUAR,0.61
2008,20,ELAN,25.58
2008,20,HEAN3,0.43
2008,20,MEOF,0.89
2008,20,MOAL,20.76
2008,20,PODEW,53.13
2008,20,SAEX,42.97
2008,20,SAGO,1.77
2008,20,SATR12,37.17
2008,20,SPCR/SPFL2,3.02
2008,20,SPORO,0.33
2008,20,TACH2,2.38
2008,20,ULPU,39.57
2008,21,AMFR,14.42
2008,21,APCA,1.51
2008,21,BASC5,6.79
2008,21,BRCA6,0.09
2008,21,CHAMA15,0.05
2008,21,CHFR3,0.32
2008,21,COCA5,0.03
2008,21,ELEL5,9.32
2008,21,PAVI5,21.26
2008,21,PODEW,95.3
2008,21,SAEX,33.05
2008,21,SATR12,3.03
2008,21,SOEL,14.52
2008,21,SOLAN,0.65
2008,21,SPAN3,5.33
2008,21,SPCR,0.32
2008,21,SPORO,0.94
2008,21,ULPU,54.84
2008,22,ANCA10,15.72
2008,22,APCA,0.07
2008,22,ASSU2,0.23
2008,22,BASA4,2.1
2008,22,BRCA6,0.23
2008,22,BROMU,0.25
2008,22,COAR4,16
2008,22,CYES,0.14
2008,22,ELAN,4.43
2008,22,ELCA4,10.58
2008,22,ELEL5,3.01
2008,22,EQLA,11.34
2008,22,GLLE3,17.3
2008,22,GRASS,0.08
2008,22,HEAN3,1.31
2008,22,JUARL,7.93
2008,22,LASE,0.18
2008,22,MACA2,0.21
2008,22,MEOF,8.09
2008,22,MUAS,12.8
2008,22,PAOB,5.14
2008,22,PAVI5,0.41
2008,22,PODEW,168.49
2008,22,SAEX,17.19
2008,22,SAGO,24.86
2008,22,SATR12,0.21
2008,22,SOEL,0.29
2008,22,SPAI,0.77
2008,22,SPAN3,1.33
2008,22,SPORO,0.2
2008,22,SYPR5,0.58
2008,22,ULPU,3.86
2008,23,ACHY,1.38
2008,23,AIAL,0.57
2008,23,ARTEM,0.66
2008,23,BASC5,11.46
2008,23,BRCA6,1.94
2008,23,CHAMA15,0.04
2008,23,ECMUM,0.07
2008,23,ELAN,1.07
2008,23,ELEL5,14.83
2008,23,FORB,0.14
2008,23,GRASS,0.52
2008,23,HEAN3,1.17
2008,23,LASE,0.1
2008,23,LEOR,0.5
2008,23,MACA2,1.22
2008,23,MAPIP4,0.02
2008,23,MARE11,0.55
2008,23,MEOF,3.69
2008,23,MUAS,1.37
2008,23,PHYSA,0.35
2008,23,PODEW,204.74
2008,23,SAGO,0.69
2008,23,SATR12,11.26
2008,23,SEVI4,0.18
2008,23,SPAI,1
2008,23,SPAN3,0.77
2008,23,SPCR,13.43
2008,23,SPORO,12.36
2008,23,TACH2,0.99
2008,23,TRTE,1.32
2008,23,TYPHA,0.62
2008,23,ULPU,6.41
2008,24,AMBRO,0.08
2008,24,ARDR4,0.55
2008,24,CHIN2,0.16
2008,24,CHPR5,0.56
2008,24,CHVI4,6.49
2008,24,DISP,4.43
2008,24,ELEL5,0.86
2008,24,FOPUP,7.55
2008,24,FORB,0.09
2008,24,GUSA2,3.74
2008,24,HEAN3,3.97
2008,24,HELIA3,0.01
2008,24,HEPE,0.61
2008,24,JUMO,0.75
2008,24,MAPIP4,2.16
2008,24,MUAS,4.31
2008,24,OENOT,0.07
2008,24,OPIM,0.03
2008,24,OPPH,1.79
2008,24,OPUNT,0.38
2008,24,PODEW,57.09
2008,24,SATR12,0.15
2008,24,SEFL3,0.16
2008,24,SOEL,0.57
2008,24,SPAI,0.15
2008,24,SPAN3,1.08
2008,24,SPCR,0.1
2008,24,SPORO,19.32
2008,24,SPSA3,0.04
2008,24,SYMPH,0.17
2008,24,TRTE,0.02
2008,25,ACHY,0.53
2008,25,ANCA10,207.57
2008,25,BASC5,21.78
2008,25,CHPR5,0.08
2008,25,COAR4,3.26
2008,25,DISP,5.52
2008,25,ECMUM,3.62
2008,25,ELAN,28.11
2008,25,HEAN3,2.75
2008,25,HECI,0.86
2008,25,LYTO,2.18
2008,25,MEOF,0.88
2008,25,MUAS,0.41
2008,25,PACA6,1.04
2008,25,SATR12,0.28
2008,25,SEVI4,1.32
2008,25,TACH2,13.12
2009,1,AMFR,2.84
2009,1,CHAMA15,0.01
2009,1,CHER2,0.06
2009,1,COCA5,0.03
2009,1,ELAN,3.32
2009,1,ELCA4,0.92
2009,1,ELEL5,1.19
2009,1,FOPUP,164.22
2009,1,GUSA2,0.6
2009,1,PAVI5,7.43
2009,1,PODEW,175.45
2009,1,SAEX,0.21
2009,1,SAGO,1.4
2009,1,SATR12,0.05
2009,1,SPAI,0.22
2009,1,SPAN3,0.05
2009,1,SPORO,0.15
2009,1,TACH2,1.19
2009,1,ULPU,17.09
2009,2,ACHY,2.61
2009,2,AMFR,1.53
2009,2,ARPU9,0.78
2009,2,ATCA2,2.45
2009,2,COCA5,0.07
2009,2,ELEL5,37.95
2009,2,GUSA2,17.12
2009,2,MACA2,0.21
2009,2,MEOF,0.97
2009,2,PAOB,0.35
2009,2,PODEW,153.64
2009,2,SATR12,1.92
2009,2,SEFL3,0.06
2009,2,SPCR,3.44
2009,2,SPORO,1.86
2009,3,AMFR,1.11
2009,3,AMPS,0.29
2009,3,ANCA10,150.52
2009,3,APCA,7.28
2009,3,BASA4,1.88
2009,3,CAREX,45.51
2009,3,ELAN,30.06
2009,3,EUOC4,1.21
2009,3,FOPUP,1.5
2009,3,GRASS,0.14
2009,3,HOJU,0.41
2009,3,MEOF,4.6
2009,3,MOAL,4.59
2009,3,MUAS,21.11
2009,3,PAOB,0.13
2009,3,PAVI5,8.44
2009,3,PODEW,140.5
2009,3,RIAU,2
2009,3,SAEX,63.28
2009,3,SAGO,11.36
2009,3,ULPU,29.85
2009,4,AMPS,9.09
2009,4,APCA,1.48
2009,4,ASSU2,4.48
2009,4,BIFR,11.05
2009,4,CAREX,37.99
2009,4,COCA5,1.1
2009,4,DISP,22.73
2009,4,ECMUM,0.18
2009,4,ELAN,85.32
2009,4,ELCA4,2.18
2009,4,EQLA,4.17
2009,4,ERPE,0.07
2009,4,EUOC4,2.02
2009,4,FORB,0.06
2009,4,GRASS,0.07
2009,4,HEAN3,0.51
2009,4,HOJU,0.14
2009,4,JUARL,0.01
2009,4,LATAP,0.25
2009,4,MACA2,0.3
2009,4,MEOF,0.05
2009,4,MINT,0.05
2009,4,MUAS,19.35
2009,4,PACA6,4.68
2009,4,PAOB,92.38
2009,4,PODEW,145.56
2009,4,POLA4,0.08
2009,4,SAEX,45.8
2009,4,SOHA,0.71
2009,4,SPAI,0.94
2009,4,SYER,0.31
2009,5,ANCA10,0.05
2009,5,DISP,5.24
2009,5,ELEL5,6.87
2009,5,FOPUP,1.17
2009,5,JUMO,0.17
2009,5,MUAS,0.51
2009,5,PODEW,264.17
2009,5,SATR12,0.71
2009,5,SEFL3,1.07
2009,6,AIAL,3.86
2009,6,AMPS,0.03
2009,6,BASC5,74.9
2009,6,BRINI,0.39
2009,6,COAR4,0.72
2009,6,COCA5,2.17
2009,6,CROTON,0.05
2009,6,ELAN,44.98
2009,6,ELEL5,0.36
2009,6,GLLE3,9.97
2009,6,GUSA2,0.29
2009,6,HEAN3,0.86
2009,6,HECI,8.17
2009,6,HOJU,0.08
2009,6,MACA2,8.13
2009,6,MEOF,0.76
2009,6,PHYSA,0.2
2009,6,PODEW,32.61
2009,6,RIAU,4.34
2009,6,SAEX,2.36
2009,6,SATR12,63.79
2009,6,SELE6,9.61
2009,6,SOEL,20.46
2009,6,SOLAN,0.32
2009,6,SPAI,9.42
2009,6,SPAN3,26.46
2009,6,SPORO,9.04
2009,6,TACH2,12.07
2009,7,BOAR,3.78
2009,7,BOAR/BOBA2,2.4
2009,7,BOBA2,3
2009,7,CHAMA15,1.51
